model,variant,seed,genre_id,precision,recall,f1,support,genre_name
tfidf_lr,first_50,42,37,0.6363636363636364,0.3684210526315789,0.4666666666666667,19,Western
tfidf_lr,first_50,42,53,0.5906040268456376,0.5382262996941896,0.5632,327,Thriller
tfidf_lr,first_50,42,80,0.5657894736842105,0.4574468085106383,0.5058823529411764,188,Crime
tfidf_lr,first_50,42,878,0.5954198473282443,0.5306122448979592,0.5611510791366906,147,Science Fiction
tfidf_lr,first_50,42,9648,0.3235294117647059,0.28695652173913044,0.30414746543778803,115,Mystery
tfidf_lr,first_50,42,10402,0.48148148148148145,0.3611111111111111,0.4126984126984127,36,Music
tfidf_lr,first_50,42,10749,0.43891402714932126,0.46859903381642515,0.4532710280373832,207,Romance
tfidf_lr,first_50,42,10751,0.5,0.4744525547445255,0.4868913857677903,137,Family
tfidf_lr,first_50,42,10752,0.5365853658536586,0.5116279069767442,0.5238095238095238,43,War
tfidf_lr,first_50,42,10770,0.25,0.07142857142857142,0.1111111111111111,14,TV Movie
tfidf_lr,first_75,42,12,0.5363636363636364,0.5989847715736041,0.565947242206235,197,Adventure
tfidf_lr,first_75,42,14,0.5118110236220472,0.47101449275362317,0.49056603773584906,138,Fantasy
tfidf_lr,first_75,42,16,0.5315315315315315,0.5221238938053098,0.5267857142857143,113,Animation
tfidf_lr,first_75,42,18,0.6429809358752167,0.6883116883116883,0.6648745519713262,539,Drama
tfidf_lr,first_75,42,27,0.576271186440678,0.5930232558139535,0.5845272206303725,172,Horror
tfidf_lr,first_75,42,28,0.6254180602006689,0.68,0.6515679442508711,275,Action
tfidf_lr,first_75,42,35,0.5866388308977035,0.6430205949656751,0.6135371179039302,437,Comedy
tfidf_lr,first_75,42,36,0.25301204819277107,0.3620689655172414,0.2978723404255319,58,History
tfidf_lr,first_75,42,37,0.7777777777777778,0.3684210526315789,0.5,19,Western
tfidf_lr,first_75,42,53,0.5766871165644172,0.5749235474006116,0.5758039816232772,327,Thriller
tfidf_lr,first_75,42,80,0.5510204081632653,0.574468085106383,0.5625,188,Crime
tfidf_lr,first_75,42,878,0.6466165413533834,0.5850340136054422,0.6142857142857143,147,Science Fiction
tfidf_lr,first_75,42,9648,0.3409090909090909,0.391304347826087,0.3643724696356275,115,Mystery
tfidf_lr,first_75,42,10402,0.5,0.4722222222222222,0.4857142857142857,36,Music
tfidf_lr,first_75,42,10749,0.4976958525345622,0.5217391304347826,0.5094339622641509,207,Romance
tfidf_lr,first_75,42,10751,0.5241379310344828,0.5547445255474452,0.5390070921985816,137,Family
tfidf_lr,first_75,42,10752,0.5416666666666666,0.6046511627906976,0.5714285714285714,43,War
tfidf_lr,first_75,42,10770,1.0,0.14285714285714285,0.25,14,TV Movie
tfidf_lr,masked,42,12,0.4691358024691358,0.5786802030456852,0.5181818181818182,197,Adventure
tfidf_lr,masked,42,14,0.43884892086330934,0.4420289855072464,0.4404332129963899,138,Fantasy
tfidf_lr,masked,42,16,0.5353535353535354,0.4690265486725664,0.5,113,Animation
tfidf_lr,masked,42,18,0.6404040404040404,0.588126159554731,0.6131528046421664,539,Drama
tfidf_lr,masked,42,27,0.5340314136125655,0.5930232558139535,0.5619834710743802,172,Horror
tfidf_lr,masked,42,28,0.6096774193548387,0.6872727272727273,0.6461538461538462,275,Action
tfidf_lr,masked,42,35,0.5881147540983607,0.6567505720823799,0.6205405405405405,437,Comedy
tfidf_lr,masked,42,36,0.2765957446808511,0.22413793103448276,0.24761904761904763,58,History
tfidf_lr,masked,42,37,0.7142857142857143,0.2631578947368421,0.38461538461538464,19,Western
tfidf_lr,masked,42,53,0.5923344947735192,0.5198776758409785,0.5537459283387622,327,Thriller
tfidf_lr,masked,42,80,0.5146198830409356,0.46808510638297873,0.49025069637883006,188,Crime
tfidf_lr,masked,42,878,0.6083333333333333,0.4965986394557823,0.5468164794007491,147,Science Fiction
tfidf_lr,masked,42,9648,0.3761467889908257,0.3565217391304348,0.36607142857142855,115,Mystery
tfidf_lr,masked,42,10402,0.3,0.16666666666666666,0.21428571428571427,36,Music
tfidf_lr,masked,42,10749,0.45588235294117646,0.4492753623188406,0.45255474452554745,207,Romance
tfidf_lr,masked,42,10751,0.5343511450381679,0.5109489051094891,0.5223880597014925,137,Family
tfidf_lr,masked,42,10752,0.4827586206896552,0.32558139534883723,0.3888888888888889,43,War
tfidf_lr,masked,42,10770,1.0,0.07142857142857142,0.13333333333333333,14,TV Movie
tfidf_lr,original,42,12,0.5211864406779662,0.6243654822335025,0.5681293302540416,197,Adventure
tfidf_lr,original,42,14,0.47878787878787876,0.572463768115942,0.5214521452145214,138,Fantasy
tfidf_lr,original,42,16,0.5038759689922481,0.5752212389380531,0.5371900826446281,113,Animation
tfidf_lr,original,42,18,0.6683937823834197,0.7179962894248608,0.6923076923076923,539,Drama
tfidf_lr,original,42,27,0.5854922279792746,0.6569767441860465,0.6191780821917808,172,Horror
tfidf_lr,original,42,28,0.6403785488958991,0.7381818181818182,0.6858108108108109,275,Action
tfidf_lr,original,42,35,0.6217948717948718,0.665903890160183,0.6430939226519337,437,Comedy
tfidf_lr,original,42,36,0.2676056338028169,0.3275862068965517,0.29457364341085274,58,History
tfidf_lr,original,42,37,0.7272727272727273,0.42105263157894735,0.5333333333333333,19,Western
tfidf_lr,original,42,53,0.5966850828729282,0.6605504587155964,0.6269956458635704,327,Thriller
tfidf_lr,original,42,80,0.5545023696682464,0.6223404255319149,0.5864661654135338,188,Crime
tfidf_lr,original,42,878,0.6139240506329114,0.6598639455782312,0.6360655737704918,147,Science Fiction
tfidf_lr,original,42,9648,0.37254901960784315,0.4956521739130435,0.4253731343283582,115,Mystery
tfidf_lr,original,42,10402,0.5862068965517241,0.4722222222222222,0.5230769230769231,36,Music
tfidf_lr,original,42,10749,0.5355648535564853,0.6183574879227053,0.5739910313901345,207,Romance
tfidf_lr,original,42,10751,0.55,0.6423357664233577,0.5925925925925926,137,Family
tfidf_lr,original,42,10752,0.58,0.6744186046511628,0.6236559139784946,43,War
tfidf_lr,original,42,10770,1.0,0.14285714285714285,0.25,14,TV Movie
tfidf_lr,shuffled,42,12,0.5299145299145299,0.6294416243654822,0.5754060324825986,197,Adventure
tfidf_lr,shuffled,42,14,0.46745562130177515,0.572463768115942,0.5146579804560261,138,Fantasy
tfidf_lr,shuffled,42,16,0.5,0.5752212389380531,0.5349794238683128,113,Animation
tfidf_lr,shuffled,42,18,0.6678260869565218,0.712430426716141,0.6894075403949731,539,Drama
